Index,Dice
0,0.5177590527143576
1,0.5156217795949409
2,0.5218028104410151
3,0.5256796394059496
4,0.47403252905483295
5,0.5258502251665224
6,0.5309057702600419
7,0.5305980369819809
8,0.5303454849107583
9,0.5288192466182208
10,0.5299789914373674
11,0.5307388092804477
12,0.5317637605327796
13,0.5317039852526011
14,0.5296060713202982
15,0.5309753198757716
16,0.5311653406021318
17,0.5330644917529963
18,0.5314101793310433
19,0.5344885160625604
20,0.5348786544961726
21,0.5325087364529962
22,0.5319492468200175
23,0.5365983487039752
24,0.5369759157016694
25,0.5334232483706027
26,0.5345595452200551
27,0.5365922138619107
28,0.5383005706770643
29,0.5383615807185336
30,0.5336944923783102
31,0.5390691860377502
32,0.5403147752345169
33,0.5392389667326222
34,0.5389814913441752
35,0.5370576612703095
36,0.5404809879325798
37,0.5388146975837299
38,0.5413082015429518
39,0.5406385934825504
40,0.5398543173017673
41,0.5388437592913474
42,0.5363484531700864
43,0.5396394008764318
44,0.5413076432461255
45,0.5419765266141864
46,0.5427937750613219
47,0.5407470386591373
48,0.5422403035711553
49,0.5403257949200919
50,0.5423204326691042
51,0.5440638550361605
52,0.5433863780084054
53,0.5420390409066246
54,0.5409961904371238
55,0.5441647746100066
56,0.5428928664284334
57,0.5452866525495573
58,0.5444467015512303
59,0.5452003401027722
60,0.5415756147094394
61,0.5416203839098928
62,0.5381248345296734
63,0.5413957917578441
64,0.5387029560173454
65,0.5408151689593034
66,0.5466690803600263
67,0.5413026072951924
68,0.5441976175483051
69,0.5458393616716019
70,0.5459195927746973
71,0.5465213987152293
72,0.5411760677805157
73,0.5444271060096733
74,0.5459498745161883
75,0.5455658855977659
76,0.545721619859165
77,0.5450166826157316
78,0.5455412518686295
79,0.5442420524082568
80,0.5463028863854078
81,0.5456631015739958
82,0.5427096560021161
83,0.5458676140114531
84,0.5482515064335078
85,0.5457995815529628
86,0.5430087722850883
87,0.5433061065537311
88,0.540512611247411
89,0.5412378429687073
90,0.5442614668987843
91,0.5461724181884
92,0.5441635219870521
93,0.5470528208245348
94,0.5386999854148528
95,0.5472113949115037
96,0.5449377025490328
97,0.5427882541215853
98,0.54847533186435
99,0.5460748720056043
100,0.5457872239766278
101,0.5475643479762734
102,0.5470230616377388
103,0.5460405020250241
104,0.5449095715059855
105,0.5467983874435683
106,0.5485915659060101
107,0.5484838903635191
108,0.5472889946853735
109,0.5485812917241052
110,0.5475750046883536
111,0.5481496114007693
112,0.5491597262945246
113,0.5481777231944192
114,0.5415072106922397
115,0.5463899703127597
116,0.5481538525870884
117,0.5428952590791885
118,0.5472222141090324
119,0.5475407777666264
120,0.5484009691590569
121,0.5471526549194418
122,0.5448026564313003
123,0.546016372675957
124,0.5473959409463763
125,0.5412645552192896
126,0.5453664577408971
127,0.5496794103200977
128,0.5461478583184783
129,0.5442128615196302
130,0.5406606529301939
131,0.5478032080922967
132,0.5466770746789871
133,0.548295444191258
134,0.5476940837807496
135,0.5446860333091297
136,0.5482192206985317
137,0.5466172677318499
138,0.5483879063676205
139,0.5467976151222419
140,0.5477193809261911
141,0.541143510245148
142,0.5446302499863662
143,0.5487779160014871
144,0.5476572586208365
145,0.5469344185045553
146,0.549673172082502
147,0.5389521969198167
148,0.5492754649043405
149,0.545915518473438
150,0.5473603370708884
151,0.5460130775468423
152,0.5477315769871292
153,0.5483224193021095
154,0.5485141484426556
155,0.5487199487106615
156,0.5492879559054715
157,0.5480162956537451
158,0.550021970070548
159,0.5479137063678268
160,0.5452726778444835
161,0.5480026093028136
162,0.5463723140846822
163,0.5475059486218743
164,0.5478378064668239
165,0.5471141350165243
